"0.00 - Kids 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMzx4FjhocMyRlBKV62U4-3k]
    idTtdWVmFAQ    |    Introduction to Integers
    FFV0pHJ3hhA    |    Graphing When You Can't Factorise (2 of 4: Understanding the Discriminant)
    tNUBZ7hX4Mo    |    Zeroes & Coefficients (5 of 5: Obtaining more complicated results)
    ZngvknBdxRQ    |    Introducing Complex Numbers (1 of 3: History of numbers)
    _8eJ02oRkjI    |    Introducing Complex Numbers (2 of 3: Revealing the invisible)
    yKe_bhPgUxs    |    Introducing Complex Numbers (3 of 3: Defining fundamentals)
    8Pv2c-8AwOI    |    Complex Arithmetic (1 of 3: Basic operations)
    fjuiPZ4DbJI    |    Complex Arithmetic (2 of 3: Trigonometric identity)
    u6A6_X7JHEg    |    Complex Arithmetic (3 of 3: Identity from ℝ component)
    xdZGHPGW28w    |    Further Complex Arithmetic (1 of 2: Basic questions and notation)
    VAdPGP6UHVM    |    Further Complex Arithmetic (2 of 2: Equating components)
    2I4bcf4Vi54    |    Do complex numbers break the rules?
    a1fRBMu11G0    |    Introducing the Complex Plane
    FzNfDuaehHs    |    Exploring the Complex Plane (1 of 2: Visualising addition & subtraction)
    FpJTb1zNz7E    |    Exploring the Complex Plane (2 of 2: Visualising multiplication)
    2PZy0TsUcSk    |    Basics of Complex Geometry (example questions)
    D5d5xinZI3E    |    Calling (Spider-Man: Across the Spider-Verse)
    8Y2eIPCg7uc    |    The Most Beautiful Identity (1 of 8: Introducing Complex Numbers)
    g7Q-ILTRPWo    |    The Most Beautiful Identity (2 of 8: Same number, different clothes)
    iDq5mF0Mjj4    |    The Most Beautiful Identity (3 of 8: The Complex Plane)
    tdNKkc6jbr0    |    Introducing Polar Form (1 of 3: An alternative coordinate system)
    kCsuJ-Yo8n8    |    Introducing Polar Form (2 of 3: Relationship to rectangular form)
    Xb8f3CHchiI    |    Introducing Polar Form (3 of 3: Example conversion)
    U8dc3hwdxx0    |    Working in Polar Form (1 of 2: Conjugate & negative)
    KIlUe5D9DD8    |    Working in Polar Form (2 of 2: Square & reciprocal)
    0vJYKTHydFc    |    The Most Beautiful Identity (4 of 8: Polar Form)
    p2Ia4CfDHw4    |    The Most Beautiful Identity (5 of 8: Polynomial Interpolation)
    kul86TCCUKM    |    The Most Beautiful Identity (6 of 8: Taylor Series)
    o7R66TzyeZI    |    The Most Beautiful Identity (7 of 8: Revisiting Polar Form)
    mnw4gfImrRc    |    The Most Beautiful Identity (8 of 8: Conclusion)
    IUTGFQpKaPU    |    The Most Beautiful Equation in Math
    7vA8HOu86Os    |    CalcGREEN 1 : Ch. 1.3 : Euler & the Complex Plane

"1.42 - algebra.Complex 2"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwKRvTkbhG2yQS6LCXcpIFx]
    mnw4gfImrRc    |    The Most Beautiful Identity (8 of 8: Conclusion)
    IUTGFQpKaPU    |    The Most Beautiful Equation in Math
    7vA8HOu86Os    |    CalcGREEN 1 : Ch. 1.3 : Euler & the Complex Plane
    QGso1gxgGBQ    |    Informal Proof of Euler's Formula (1 of 2: Exponential calculus)
    TejELKLWNA8    |    Informal Proof of Euler's Formula (2 of 2: Trigonometric calculus)
    2mpZDhvgzrs    |    What does an imaginary power mean?
    pg827uDPFqA    |    What is the number "e" and where does it come from?
    Q6EIugYmxYg    |    Proving Euler's Formula (1 of 4: Fields)
    hQi0xOfkRtk    |    Proving Euler's Formula (2 of 4: Differentiating both sides)
    gLAErO60K7Q    |    Proving Euler's Formula (3 of 4: Equating terms)
    hkYofVzq0F4    |    Proving Euler's Formula (4 of 4: Evaluating constants)
    _-abh0Au65Q    |    Geometry of Complex Numbers (1 of 6: Radians)
    3YWzXAveKmY    |    Geometry of Complex Numbers (2 of 6: Real vs. Complex)
    Cgnt0QqhA1c    |    Geometry of Complex Numbers (3 of 6: Real Arithmetic)
    qpTpdsnu1G4    |    Geometry of Complex Numbers (4 of 6: The Complex Plane)
    tOVQ-qoYhQI    |    Geometry of Complex Numbers (5 of 6: Polar Form)
    rOvyredsm1A    |    Geometry of Complex Numbers (6 of 6: Conversion Between Forms)
    f9W-VKeR6Uc    |    Polar Form (1 of 2: Using Complex Number examples to justify polar form's use)
    z5IG_6_zPDo    |    Imaginary Numbers Are Real [Part 6: The Complex Plane]
    YHvR8siIiD0    |    Imaginary Numbers Are Real [Part 7: Complex Multiplication]
    r0IrHPCAB8A    |    MUL. Two different Complex Nums || Can you see the parallelogram .... 🤔
    FOPe3H6eptA    |    Polar Form (2 of 2: Generalising to prove the multiplication identity of polar form)
    IUbIWQjbRck    |    Multiplying by Complex Conjugate || a (*simple) ShortCut ||
    v4zd-2ZxsGE    |    Proving de Moivre's Theorem (1 of 2: Prologue)
    SkAMTwsuXsI    |    Proving de Moivre's Theorem (2 of 2: Derivation & example problem)
    RHM0NbiKWfc    |    Using de Moivre's Theorem - example question (1 of 2: Purely real)
    SPmMIegAdDs    |    Using de Moivre's Theorem - example question (2 of 2: Purely imaginary)
    0XiOpGAo_8E    |    Trigonometric Expansions from Complex Numbers (1 of 3: Concept map)
    hD_Ysb9xyHk    |    Trigonometric Expansions from Complex Numbers (2 of 3: Double angle results)
    nIgXG_zckNA    |    Trigonometric Expansions from Complex Numbers (3 of 3: General compound angles)
    WYbl6uaocjY    |    Exact value of cos(π÷12)
    FcStabKKvjE    |    Complex Numbers - Mod-Arg Form (3 of 5: Calculating the Modulus)
    cgAMTAmOgNk    |    Complex Numbers - Mod-Arg Form (4 of 5: Conversion Example 1)
    Jp_LVBqU05U    |    Complex Numbers - Mod-Arg Form (5 of 5: Conversion Example 2)
    JSuYT5W_Cvw    |    Square Roots of a Complex Number (1 of 3: Review questions)
    G6_blfwwIaE    |    Square Roots of a Complex Number (2 of 3: Principal square root)
    fsRmrFFGkPc    |    Square Roots of a Complex Number (3 of 3: Solving in rectangular and exponential form)
    _QqJOZV3_fA    |    Equations with Complex Solutions (1 of 2: Relation to square roots)
    6QF-7OFMWRc    |    Equation of a Parabola - Vertex Form (Completing the square)
    FeFNkVDfv6Q    |    Equations with Complex Solutions (2 of 2: Solving & factorising)
    NjpXGEHsrEg    |    Visualising Square Roots (1 of 2: Exploring the graphs)
    LATkdUhEX_4    |    Visualising Square Roots (2 of 2: Modifying a & b)
    MjYwF_0EhTU    |    History Is Now
    m45ypgAZ734    |    Roots of Unity (1 of 2: Evaluating the cube roots)
    1Bl_21ZT5Cw    |    Roots of Unity (2 of 2: Insights from polar & exponential forms)
    Yx4YDWyZbxY    |    Nth Roots of a ℂ Number (1 of 2: General form)
    OEn8DhNhLi8    |    Nth Roots of a ℂ Number (2 of 2: Example problem)
    Qha-Lsdj5xo    |    De Moivre's Theorem
    QhZkvFQb7Is    |    How to graph the locus of |z-1|=1
    VbB4LyuDyMo    |    Curves and Regions on the Complex Plane (1 of 4: Introductory example plotting |z|=5 geometrically)
    s-7iwVzyy0c    |    Curves and Regions on the Complex Plane (2 of 4: Deciphering terminology to plot complex numbers)
    Yu2W6FtHhJg    |    Curves and Regions on the Complex Plane (3 of 4: Simplifying expressions to plot on a complex plane)
    wkYwnD5WG5k    |    Curves and Regions on the Complex Plane (4 of 4: Plotting simultaneous shifted complex numbers)

"1.43 - algebra.Integ 3: Substitution"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMx_KSOeJvvNgvAZbw7TDMba]
    Ek40XtVsO7g    |    Spider-Man: Across the Spider-Verse | First 10 Minutes | Sony Animation
    hCsvGfnYtzg    |    In the beginning of time....
    C84rZH7JpoU    |    Area Between Two Curves (Solving a 'curve ball' styled question)
    bSI17f-vcIY    |    Evaluating Constant of Integration (1 of 2: Indefinite integral)
    HypBy034xTQ    |    Evaluating Constant of Integration (2 of 2: Definite integral)
    1aLingC__P0    |    Logarithms as Primitive Functions (Why are there absolute value signs?)
    RzKci1rdnoM    |    Indefinite Integrals (3 of 3: Harder reverse chain rule examples)
    1zUsgXiy4HY    |    Integration by Substitution (1 of 2)
    uTmrrSrDRmo    |    Integration by Substitution (2 of 2)
    k_Ua09EsNXc    |    Definite Integrals by Substitution
    aVhygqgNOTc    |    Integral of a Rational Function (1 of 3: Algebraic pre-work)
    elX7Xbo9O5k    |    Integral of a Rational Function (2 of 3: Performing the integration)
    k4fOWMkeEcQ    |    Integral of a Rational Function (3 of 3: By substitution)
    bQwGSkFdEOg    |    Integration & Logarithmic Functions: Non-Log Integrands (2 of 3)
    BKlvj_JrF08    |    Integration & Logarithmic Functions: Non-Log Integrands (3 of 3)
    CHnAwx3fS04    |    [CLIP] | Count On Me | Bruno Mars | Eddie Woo Cover
    AGAIfsMo9y4    |    Summarising Derivatives of all Trigonometric Functions
    Yj_teyCfNN0    |    Integrating Basic & Reciprocal Trigonometric Functions
    4SOGAQUdeYI    |    Differentiating a^(cos x)
    IgljHgqF1Bo    |    Differentiating Logarithmic Functions Without Base e
    nVdTKmXcGsg    |    Integrating Squared Trigonometric Functions
    3LqrIdzGOoc    |    Integrating Trigonometric Functions (1 of 4): The Basics
    xTOjetrdBwk    |    Integrating Trigonometric Functions (2 of 4): Involving Chain Rule
    26GYXn8u8hE    |    Integrating Trigonometric Functions (3 of 4): Involving Identities
    W8sDGaKtUtg    |    Integrating Trigonometric Functions (4 of 4): Involving Symmetrical Areas
    nBJibd34-2I    |    Differentiating x^x (2 of 3: By Changing the Base)
    N-0f7EnULeM    |    Differentiating x^x (3 of 3: Implicit Differentiation)
    hQIRyfSrYH4    |    Implicit Differentiation (Differentiating a function without needing to rearrange for x or y)
    tvqFRgGLGxU    |    Integrating Exponential Functions
    Emlhn-aDwro    |    Primitives of Exponential Functions
    Z0FaJ02PSwU    |    Intro to Inverse Functions (2 of 4: Unifying geometric definition)
    Kf9YLL5uoAE    |    Derivatives of 6 Trigonometric Functions
    CWZH4y2t83w    |    Derivatives of Inverse Trigonometric Functions
    T0kuMKR3hks    |    Solving Limits involving properties of Trigonometric Functions as they approach the origin.
    pP-YUx41rh4    |    "T" Results (Using t results to solve trigonometric equations)
    7JXMfs7Mg-8    |    Inverse Trigonometric Functions (1 of 4: Choosing a Domain for the Inverse of sine)
    yfOmDk2ybww    |    Inverse Trigonometric Functions (2 of 4: Justifying the Choice of Domain)
    jgLvO6A7OEo    |    Graphing Inverse Trig Functions (1 of 2)
    PNEHs41WjhY    |    Mathematics Extension I (Term 1 Week 2 Quiz Walkthrough)
    hR6r20OiJ58    |    Indefinite Integrals of Inverse Trig Functions (1 of 2)
    VAgXjG2tSQY    |    Inverse Trig Derivatives & Integrals (Summary)
    tmg90eYPoNg    |    Definite Integrals by Substitution (2 of 2: Dealing with the boundaries)
    R1f7OC0lK0k    |    Reverse Chain Rule for Rational Functions
    Z9Pwjgz5NzE    |    Combining Trigonometric & Inverse Trigonometric Functions
    xRd5kwufMq0    |    Graphs of Inverse Trigonometric Functions (1 of 2: Thinking through domain & range)
    ZWDL4dWZ5QA    |    Graphs of Inverse Trigonometric Functions (2 of 2: Considering shifts through domain)
    CwTqRSv2GiU    |    Applications of Differentiating Trig Functions (1 of 2: How is differentiating used in maths?)
    yvSO7tvpT8k    |    Integration of Trigonometric Functions (1 of 3: Introduction to uses and some examples)
    VyJ8S3wH_3M    |    Integration of Trigonometric Functions (3 of 3: Using Trig Identities to evaluate cos^2(x))
    QkyyMdlqclc    |    Integration by Substitution (1 of 4: Integrating (1-4x^2)^1/2 without Substitution)

"1.44 - algebra.Integ 4: by parts"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwjwLmTnwSmUVwQqzzM39aB]
    SNW6fcE_pec    |    How are you feeling about remote learning? (Kind July Conversations, Part 3 of 5)
    C-BgsKBMtAA    |    Intro to Further Integration (1 of 2: Expanding on prior learning)
    C1IY9tn8h8s    |    Intro to Further Integration (2 of 2: Foundational examples)
    hR6r20OiJ58    |    Indefinite Integrals of Inverse Trig Functions (1 of 2)
    VfVC-jE_IN8    |    What do you struggle with? (Kind July Conversations, Part 4 of 5)
    ypn1rvOGIcg    |    Integration by Unspecified Substitution (1 of 3: Introductory example)
    nE5BdvmFfDs    |    Integration by Unspecified Substitution (2 of 3: Square root example)
    aCos6yZVEKY    |    Integration by Unspecified Substitution (3 of 3: Trigonometric example)
    1FwPORwhlXE    |    Three kind thoughts to encourage & inspire (Kind July Conversations, Part 5 of 5)
    R1f7OC0lK0k    |    Reverse Chain Rule for Rational Functions
    qO3LSfON-i0    |    Polynomial Division (1 of 3: How do I deal with "missing" terms?)
    PQhc4-xU2bY    |    Partial Fractions (1 of 3: Review questions)
    egkCkcBDBYk    |    Partial Fractions (2 of 3: What are they?)
    5TRNTbtfugc    |    Partial Fractions (3 of 3: Three solution methods)
    jHzgKodlsio    |    Partial Fractions (2 of 3: An alternative method to find introduced variables)
    k1mJAuaabMA    |    Partial Fractions (3 of 3: How to use Partial Fractions to split fractions with Quadratic Numerator)
    O9EebG4VuoE    |    Quadratic Identities (4 of 4: Partial Fractions)
    O3yIlcRtNEw    |    Partial Fractions w/ Perfect Square Denominators
    wLbX8Z1WnDk    |    Partial Fractions: Quadratic Factors (1 of 2: Issues with non-linear denominator factors)
    bjhsLxxzBLU    |    Partial Fractions: Quadratic Factors (2 of 2: Problems with Quadratic Factors and Solution)
    aHvpstFckoA    |    Partial Fraction: Repeated Linear Factors (Technique for Breaking down into partial fractions)
    MDU3E7VX7wU    |    A mathemagical card trick!
    1GhSfY0h5e4    |    Integration with Quadratic Denominators (1 of 3: Introduction - why are they challenging?)
    T1tcBuwjIXU    |    Integration with Quadratic Denominators (2 of 3: Distinguishing characteristics)
    uOWQQ4uKUSA    |    Integration with Quadratic Denominators (3 of 3: Rationalising the numerator)
    fikL-JSRB4U    |    Integration by Parts (1 of 2: Arranging the integral with DETAIL)
    I_1haFAXr_Y    |    Integration by Parts (2 of 2: When the integrand doesn't look like a product)
    rIYiLxp3v4A    |    Recurrence Relations (1 of 3: Introduction & logarithmic example)
    iSwr07V3Jp8    |    Recurrence Relations (2 of 3: Exponential example)
    6_AzNgceLes    |    Recurrence Relations (3 of 3: Trigonometric examples)
    7O2brjn1j04    |    Differentiating a Continued Fraction
    W6bHL2Y6yNA    |    National EOS Awareness Week
    zVz6H3jKnOs    |    Further Integration (1 of 2: Brief Overview of Extension II Integration)
    gVHdmezIFoU    |    Extension I Quiz (Differentiation of Trig, Integration with Substitution, Newton's Method & Volumes)
    -unUH8qbkrw    |    Tricky Trig Limit Question

"1.45 - geo.trig 5: General Forms"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMy5nr1A3BWm18vPF2s7k4jq]
    7UMkV-S0Zv8    |    Differentiation of ITFs (1 of 3: Predicting the properties of d/dx(tan¯¹(x)))
    cEwzicFvh_k    |    Differentiation of ITFs (2 of 3: Using Trig Identities to find the derivative of tan¯¹(x))
    ThsJ_upnwEU    |    Differentiation of ITFs (3 of 3: Finding the Condition that make d/dx(sin¯¹(x)) what it actually is)
    kwKWeYvFJRo    |    Further Thoughts on the Derivatives of Inverse Trigonometric Functions
    CHnAwx3fS04    |    [CLIP] | Count On Me | Bruno Mars | Eddie Woo Cover
    EMaYjbS_xn4    |    Guitar Gear
    Kf9YLL5uoAE    |    Derivatives of 6 Trigonometric Functions
    CWZH4y2t83w    |    Derivatives of Inverse Trigonometric Functions
    wEAxqcJc4V4    |    Areas Involving Inverse Trig Functions
    zKfWYeRzTaQ    |    [4K HDR] Spider-Man: Across the Spider-Verse | AM I DREAMING | End Credits
    VWMjpDXzkqs    |    General Solution for tan
    bQdu1Qv1zxg    |    General Solution for cosine
    U5byPezGLZ4    |    General Solution for sine
    e6jhzpUTL70    |    Generating Values from General Solutions
    MLKTYBlPxbk    |    Negative Related Angles
    QzmoCkrJ2wE    |    General Solution (2 of 3: Finding the General Solution for cosx)
    r1Wg8KwOpRI    |    Inverse Trig Function w/ Complicated Argument
    D5d5xinZI3E    |    Calling (Spider-Man: Across the Spider-Verse)
    Zs0vObiAu0o    |    Considering Inverse Trigonometric Expressions as Angles in Triangles
    IFQiOJgxuWE    |    Inverse Trig + Trig Expansions: With Values
    ZhPVgKf0IWA    |    Inverse Trig + Trig Expansions: With Algebraic Terms
    lprug7qXozg    |    Evaluating Multiple Inverse Trig Functions
    lWUlJY33iDY    |    Combining Different Trig & Inv. Trig Functions
    k_nWT8WyZac    |    sin(cos⁻¹(x)), cos(sin⁻¹(x)) || Trynna Viz  || Compound/Composite INV. Trig Graphs || cos(arcsin(x))
    wYlPfAcAB20    |    Evaluating Trig & Inv Trig Ratios (1 of 2)
    q4uSge__uSA    |    Evaluating Trig & Inv Trig Ratios (2 of 2)
    0j3FVqBZ7Xc    |    11M6 Bloopers #6: Stop making excuses. Start taking responsibility.
    5Qgewp_Pbl4    |    Lamentis-1, 2077
    SoemKUnJTyg    |    Inverse Trig. || shittyTextbooks practiceProblems || watch till 22:57 at least || graphs sec⁻¹(x)...
    5X_EKQzmX8Y    |    can you represent cosec⁻¹(x) in terms of sin⁻¹(x) || Or the other way around 😏
    9VqN9hCNS3U    |    General Solution - Basic Formulae
    _i5a403J6Iw    |    General Solution - Modified Formulae
    XDw4KWftcT8    |    General Solution [Continued] (1 of 3: Generalising the solution of sin5x = sinx)
    MjYwF_0EhTU    |    History Is Now
    CY_DmHFtgWk    |    Overlapping General Solutions (1 of 2)
    rPpwAT_I75s    |    Overlapping General Solutions (2 of 2)
    WXooseEwliY    |    Overlapping General Solutions (Example)
    5y2OsjuUNZA    |    General Solution: Combining Solutions
    sJbexcm4Trk    |    Cyberpunk 2077: Phantom Liberty — Official Cinematic Trailer
    6Q9uyDiKblU    |    Extraneous Solutions
    vK-61iAk2l0    |    Differentiating sin¯¹(x) & cos¯¹(x)
    JeyiDqBSapw    |    Differentiating tan¯¹(x)

"1.50 - algebra.Diff 5: apps 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwl-hGCKBdBLpkPv5TcCFyp]
    Ek40XtVsO7g    |    Spider-Man: Across the Spider-Verse | First 10 Minutes | Sony Animation
    2Oj0qiuVSyc    |    Calculating Irregular Areas (1 of 2: Composite Figures)
    E8Z4Rzxdgdk    |    Calculating Irregular Areas (2 of 2: Simpson's Rule)
    1gFaS9Z8Ozg    |    Stay Kind
    EbHhQfTvMSA    |    Spider-Man: Across the Spider-Verse | "Annihilate" by Metro Boomin x Swae Lee x Lil Wayne x Offset
    RJn4OwOC9b0    |    Sign of the Derivative (1 of 7: Differentiation review questions)
    m_wx8WXBGnc    |    Sign of the Derivative (2 of 7: Increasing, stationary, decreasing)
    R0AOSufuDz4    |    Sign of the Derivative (3 of 7: Basic worked example)
    75X9AY89yS4    |    Sign of the Derivative (4 of 7: Vertical tangent)
    2vQH6D_Td4Q    |    Sign of the Derivative (5 of 7: Distinguishing stationary points)
    eJWdGwoXwzc    |    Sign of the Derivative (6 of 7: Locating stationary points)
    -pyD2U8TimM    |    Sign of the Derivative (7 of 7: Determining nature of stationary points)
    h2ILQKAWYdU    |    Classifying Stationary Points (1 of 3: Review of point types)
    -BzcaZUkGRM    |    Classifying Stationary Points (2 of 3: Flowchart for locating points)
    9nwwr_tfITQ    |    Classifying Stationary Points (3 of 3: Flowchart for determining nature)
    mh-KncHB6F4    |    Spider-Man: Across the Spider-Verse | "Calling" by Metro Boomin x Nav x A Boogie with Swae Lee
    Rmf0kgtNsxA    |    The Second Derivative (1 of 3: Investigating a pandemic curve)
    eAsC3ZqqTHc    |    The Second Derivative (2 of 3: Exploring first derivative values)
    PmOQu1ke6VM    |    The Second Derivative (3 of 3: Notation)
    ej3ijm6eDO8    |    Second Derivative: A Physical Analogy
    9eQAn_QF8Fo    |    The Second Derivative (2 of 3: Explaining dx²)
    mzW4IKb5ZjM    |    Spider-Man: Across the Spider-Verse | Official Clip | "Stop Spider-Man"
    S_MpHi82sBI    |    Geometry of the Derivatives (1 of 6: Review question)
    O-vMZMLIe5Q    |    Geometry of the Derivatives (2 of 6: Exploring gradient & concavity)
    tIyXhqRNZcs    |    Geometry of the Derivatives (3 of 6: Points of inflexion)
    adZAMXaLC5A    |    Geometry of the Derivatives (4 of 6: Determining max/min with second derivative)
    bG69nJKdZhY    |    Geometry of the Derivatives (5 of 6: What if the second derivative equals 0?)
    2xSyLfWzLuI    |    Geometry of the Derivatives (6 of 6: How do I choose which derivative to use?)
    ZiuYru3djWo    |    TED Radio Hour: Don't Fear Math
    havgR2OLPb4    |    Identifying Important Points with Calculus (worked solution)
    FFF6FWwenls    |    Spider-Man: Across the Spider-Verse | Official Clip | "Hangin' With Gwen"
    ifWg4mcsqR4    |    What is Optimisation? (1 of 6: Review questions)
    GruAntXmXEE    |    What is Optimisation? (2 of 6: The barbecue scenario)
    kpldb45NqPc    |    What is Optimisation? (3 of 6: Example derivative)
    VomNU9UToog    |    What is Optimisation? (4 of 6: Checking endpoints)
    Zx5B0imgrS8    |    The number behind an impossible building: 1,056,006
    KOtS1F_XwWk    |    What is Optimisation? (5 of 6: Constructing a model)
    iEuE-x7B4zE    |    What is Optimisation? (6 of 6: Finding the minimum)
    3PmmZwuPObQ    |    Spider-Man: Across the Spider-Verse | Official Clip | "Gwen and Miles"
    Vq4U8E0pXvo    |    Derivatives of Motion (1 of 3: What does each derivative signify?)
    fLixH0ulQNE    |    Derivatives of Motion (2 of 3: Graphs for displacement, velocity & acceleration)
    NpQdnxXG65E    |    Derivatives of Motion (3 of 3: Understanding movement)
    VqswtLTIlZ0    |    Interpreting Motion Graphically (1 of 4: Direction of movement)
    nG9NJQ6jg_o    |    Interpreting Motion Graphically (2 of 4: Identifying specific features)
    eBA_J24vxKI    |    Interpreting Motion Graphically (3 of 4: Exploring acceleration)
    p61rjlT8qpw    |    Interpreting Motion Graphically (4 of 4: Velocity & acceleration graphs)
    IcmwKakgBXs    |    How do I prepare for final exams?
    pGZuE5OU5rw    |    Radio Interview: ABC Conversations
    yfc1ZSKKMt0    |    Graphing Techniques Q&A (1 of 3: Horizontal transformation example)
    5Hfz6Y12SvM    |    Graphing Techniques Q&A (2 of 3: Vertical transformation example)
    yQEejQLeNSE    |    Graphing Techniques Q&A (3 of 3: Solving an inequality visually)

"1.53 - algebra.Integ 5: apps 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMxwm47KDw9tXEsI1c5oW1Xt]
    DG8lo3lsmic    |    Trapezoidal Rule (1 of 4: Why do we need a method for approximating areas?)
    JxH_aOVE3zg    |    Trapezoidal Rule (2 of 4: Approximating a curve with a polygon)
    yAgZmw5spqI    |    Trapezoidal Rule (3 of 4: Improving accuracy with multiple shapes)
    2CaVZyCkcr4    |    Trapezoidal Rule (4 of 4: Deriving the general rule for many trapeziums)
    oCaabzXG2sA    |    Mode & Median of a Continuous Probability Distribution
    HZoHarCLnao    |    What are Continuous Random Variables? (1 of 3: Relation to discrete data)
    4vRqUQYKAcQ    |    What are Continuous Random Variables? (2 of 3: Why we need different tools)
    w8ooPvs-huQ    |    What are Continuous Random Variables? (3 of 3: Conditions for a Probability Density Function)
    SzvmOs-JF7s    |    Probability Density Functions (1 of 7: Meeting the conditions)
    XwFl4miRCoA    |    Probability Density Functions (2 of 7: Evaluating a probability)
    RvlBWsMOrQc    |    Probability Density Functions (3 of 7: Unknowns in the function)
    Qp893vYwKPQ    |    Probability Density Functions (4 of 7: Domain restrictions)
    syzCgIVzRzg    |    Probability Density Functions (5 of 7: Reviewing integration skills)
    nX1e8TtJgL0    |    Probability Density Functions (6 of 7: Unbounded integrals)
    rI1QG7Uc8q4    |    Probability Density Functions (7 of 7: Uniform distributions)
    oCaabzXG2sA    |    Mode & Median of a Continuous Probability Distribution
    E0hN0X2hgVU    |    Worked Example: Finding Median of a Continuous Probability Distribution
    ASwEkTVS2WQ    |    Finding Median with Technology
    FFLsODOxwN0    |    Locating Boundaries of a Distribution from its Median
    4VB4P0X1KGo    |    Finding Percentiles of a Continuous Probability Distribution
    tF2Kns7RrfQ    |    Expected Value of a Continuous Distribution (1 of 2: Relation to discrete data)
    qLxGgi9YhPs    |    Expected Value of a Continuous Distribution (2 of 2: Worked example)
    pSkoF_S28gc    |    Eddie Woo on ABC One Plus One
    tzKggWvbACc    |    Variance (1 of 4: Introducing the formulas)
    z-L_DxvaRwM    |    Variance (2 of 4: Worked example with first formula)
    nx3F-BLNdbE    |    Variance (3 of 4: Worked example with second formula)
    gtnBpaNPVtw    |    Variance (4 of 4: Proof of two formulas)
    ZJsOOCghQJ0    |    Cumulative Distribution Function (1 of 3: Definition)
    PN9nqf6ouXQ    |    Cumulative Distribution Function (2 of 3: Evaluating probabilities)
    ASHPdWCPBXE    |    Cumulative Distribution Function (3 of 3: Locating quantiles)
    qBNS2wfR92k    |    Probability Density Functions Q&A (1 of 2: Evaluating probabilities)
    DJK3hRhAm08    |    Probability Density Functions Q&A (2 of 2: Two approaches to an unbounded probability)
    EIC3SeE9-Gc    |    Thanks a million!!
    93pwFxoXEg8    |    What is the Normal Distribution?
    -e4-1F2_XS0    |    Normally Distributed Empirical Data (1 of 2: Comparing marathon times)
    9uibOz00-5Q    |    Normally Distributed Empirical Data (2 of 2: Calculating population proportions)
    1Q1rhvIkQo0    |    Probability Density Function of the Normal Distribution
    Ecu7takIMJc    |    Mathematics + Music & Museums (Interview with Damian McDonald)
    olHSQr7XAmI    |    Trapezoidal Rule on Normal Distribution (1 of 2: Reviewing the formula)
    LHZ2_GcZTpE    |    Trapezoidal Rule on Normal Distribution (2 of 2: Verifying empirical result)
    afusinDRvc0    |    Integrating Normal Distribution with Technology (1 of 2: One-sided inequality)
    WAqoKECetVg    |    Integrating Normal Distribution with Technology (2 of 2: Contrasting populations)
    CzEoRa3QfT8    |    Statistical Tables (1 of 2: How to interpret values)
    tOHpPIzTvjI    |    Statistical Tables (2 of 2: Combining results)

"Algebra 0.6.5 : integ 0.6 : practice"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwmqejluDIPvc8dpj1tRNYp]
    dBdRWG5Uau4    |    Integration Practice (1 of 7: Exponential integrals)
    AyVQ8U6YA9Y    |    Integration Practice (2 of 7: Trapezoidal rule with exponential function)
    Ej57rXasPDM    |    Integration Practice (3 of 7: Rational function areas)
    b4ZcoIYFNp4    |    Mathematics + Fashion, Journalism & Design (Interview with Kellie Hush)
    mE_iGjqRe00    |    Integration Practice (4 of 7: Exponential function area)
    GanDPUH1vpc    |    Integration Practice (5 of 7: Trigonometric definite integral)
    MOTO6CLQnJw    |    Integration Practice (6 of 7: Trigonometric integral from a derivative)
    RAA-G1EKN6Q    |    Integration Practice (7 of 7: Trigonometric/linear enclosed area)
    Qh-ZD1CAtmg    |    Mathematics of the Sydney Opera House (Trailer)
    TdO8GsNGBXs    |    Determine Function from Stationary Points
    eFv7OxVEBz8    |    Integral Calculus Q&A (1 of 6: Separating an integrand)
    sMVTEyxbJaw    |    Integral Calculus Q&A (2 of 6: Simple rational functions)
    0HKwSxUZr8s    |    Integral Calculus Q&A (3 of 6: Further rational functions)
    oesM-S2P19Y    |    Integral Calculus Q&A (4 of 6: Exponential equation reducible to quadratic)
    DZXxiU2sVOI    |    Integral Calculus Q&A (5 of 6: Locating a stationary point)
    bGNoLzZEdnQ    |    Integral Calculus Q&A (6 of 6: Further examples)
    s6Gxl3vsQwQ    |    Integrals and Signed Areas [Exam Question]
    x3Td-3Lmyd0    |    Equation of Circle from Tangent [Exam Question]
    Y5n0JzqG-8s    |    Dartboard Question (1 of 2: Area)
    aO_uSZ83uig    |    Dartboard Question (2 of 2: Percentage & perimeter)
    svxn_maEHyE    |    Measuring a Wedge
    -unUH8qbkrw    |    Tricky Trig Limit Question
    zoV8fKNfZxs    |    Integrals & Logarithmic Functions (2 of 2: Why are there absolute value signs?)
